"","A1_locus","A1_gene","A1_product","A2_locus","A2_gene","A2_product","A3_locus","A3_gene","A3_product","A4_locus","A4_gene","A4_product","L1_locus","L1_gene","L1_product","L2_locus","L2_gene","L2_product","L3_locus","L3_gene","L3_product","L5_locus","L5_gene","L5_product","L6_locus","L6_gene","L6_product","L7_locus","L7_gene","L7_product","L8_locus","L8_gene","L8_product","L9_locus","L9_gene","L9_product"
"52",NA,NA,NA,NA,NA,NA,"Rv2070c","cobK","precorrin-6A reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3784","epiB","dTDP-glucose 4,6-dehydratase",NA,NA,NA,"Rv3332","nagA","N-acetylglucosamine-6-phosphate deacetylase NagA",NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,"Rv2187","fadD15","long-chain-fatty-acid--CoA ligase FadD15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3794","embA","arabinosyltransferase A",NA,NA,NA,"Rv3400",NA,"hydrolase",NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,"Rv2196","qcrB","ubiquinol-cytochrome C reductase cytochrome subunit B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3808c","glfT2","galactofuranosyl transferase GlfT",NA,NA,NA,"Rv3552",NA,"CoA-transferase subunit beta",NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,"Rv2200c","ctaC","cytochrome C oxidase subunit II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3824c","papA1","acyltransferase",NA,NA,NA,"Rv3801c","fadD32","long-chain-fatty-acid--AMP ligase FadD32",NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,"Rv2259","mscR","S-nitrosomycothiol reductase MscR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3913","trxB2","thioredoxin reductase",NA,NA,NA,"Rv3808c","glfT2","galactofuranosyl transferase GlfT",NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,"Rv2334","cysK1","O-acetylserine sulfhydrylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3817",NA,"phosphotransferase",NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,"Rv2344c","dgt","deoxyguanosine triphosphate triphosphohydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3820c","papA2","trehalose-2-sulfate acyltransferase",NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,"Rv2438c","nadE","glutamine-dependent NAD(+) synthetase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3823c","mmpL8","integral membrane transport protein MmpL8",NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,"Rv2447c","folC","folylpolyglutamate synthase FolC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rv3859c","gltB","glutamate synthase large subunit",NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,"Rv2471","aglA","alpha-glucosidase AglA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,"Rv2476c","gdh","NAD-dependent glutamate dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,"Rv2505c","fadD35","fatty-acid--CoA ligase FadD35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,"Rv2713","sthA","pyridine nucleotide transhydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,"Rv2895c","viuB","mycobactin utilization protein ViuB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,"Rv2920c","amt","ammonium transporter integral membrane protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,"Rv2930","fadD26","fatty-acid--CoA ligase FadD26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,"Rv2964","purU","formyltetrahydrofolate deformylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,"Rv2996c","serA1","D-3-phosphoglycerate dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,"Rv3028c","fixB","electron transfer flavoprotein subunit alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,"Rv3061c","fadE22","acyl-CoA dehydrogenase FadE22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,"Rv3262","fbiB","coenzyme F420:L-glutamate ligase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,"Rv3290c","lat","L-lysine-epsilon aminotransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,"Rv3314c","deoA","thymidine phosphorylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,"Rv3340","metC","O-acetylhomoserine sulfhydrylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,"Rv3383c","idsB","polyprenyl synthetase IdsB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,"Rv3401",NA,"glycosyl hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,"Rv3411c","guaB2","inosine-5'-monophosphate dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,"Rv3469c","mhpE","4-hydroxy-2-oxovalerate aldolase MhpE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,"Rv3509c","ilvX","acetohydroxyacid synthase large subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,"Rv3667","acs","acetyl-CoAsynthetase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,"Rv3740c",NA,"diacyglycerol O-acyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,"Rv3797","fadE35","acyl-CoA dehydrogenase FadE35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,"Rv3804c","fbpA","diacylglycerol acyltransferase/mycolyltransferase Ag85A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,"Rv3820c","papA2","trehalose-2-sulfate acyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,"Rv3823c","mmpL8","integral membrane transport protein MmpL8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,"Rv3826","fadD23","long-chain-fatty-acid--CoA ligase FadD23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,"Rv3913","trxB2","thioredoxin reductase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
